Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU,Total,Percent,Prevalence
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Hydrogenophilaceae,g__norank_f__Hydrogenophilaceae,s__uncultured_Burkholderiales_bacterium_g__norank_f__Hydrogenophilaceae,OTU3226,11,2.0E-5,35.294117647059%
d__Bacteria,k__norank_d__Bacteria,p__BRC1,c__norank_p__BRC1,o__norank_p__BRC1,f__norank_p__BRC1,g__norank_p__BRC1,s__uncultured_bacterium_g__norank_p__BRC1,OTU3085,2,2.76774e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,s__uncultured_bacterium_g__Bdellovibrio,OTU3161,6,8.30321e-6,23.529411764706%
d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__JG30-KF-CM66,o__norank_c__JG30-KF-CM66,f__norank_c__JG30-KF-CM66,g__norank_c__JG30-KF-CM66,s__uncultured_Anaerolineales_bacterium_g__norank_c__JG30-KF-CM66,OTU3139,19,3.0E-5,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__norank_o__Babeliales,g__norank_o__Babeliales,s__candidate_division_TM6_bacterium_GW2011_GWF2_37_49,OTU3194,7,9.68708e-6,23.529411764706%
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Family_XII_o__Clostridiales,g__Acidaminobacter,s__unclassified_g__Acidaminobacter,OTU3281,10,1.0E-5,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Micropepsales,f__Micropepsaceae,g__norank_f__Micropepsaceae,s__metagenome_g__norank_f__Micropepsaceae,OTU2904,486,0.00067,70.588235294118%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__norank_f__Diplorickettsiaceae,s__uncultured_Legionellales_bacterium_g__norank_f__Diplorickettsiaceae,OTU2813,8,1.0E-5,35.294117647059%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__WD260,f__norank_o__WD260,g__norank_o__WD260,s__uncultured_bacterium_g__norank_o__WD260,OTU3179,75,0.0001,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Zixibacteria,c__norank_p__Zixibacteria,o__norank_p__Zixibacteria,f__norank_p__Zixibacteria,g__norank_p__Zixibacteria,s__uncultured_prokaryote_g__norank_p__Zixibacteria,OTU3151,7,9.68708e-6,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Acidobacteria,c__Subgroup_6,o__norank_c__Subgroup_6,f__norank_c__Subgroup_6,g__norank_c__Subgroup_6,s__unclassified_g__norank_c__Subgroup_6,OTU3288,620,0.00086,64.705882352941%
d__Bacteria,k__norank_d__Bacteria,p__Zixibacteria,c__norank_p__Zixibacteria,o__norank_p__Zixibacteria,f__norank_p__Zixibacteria,g__norank_p__Zixibacteria,s__unclassified_g__norank_p__Zixibacteria,OTU3203,56,8.0E-5,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Zixibacteria,c__norank_p__Zixibacteria,o__norank_p__Zixibacteria,f__norank_p__Zixibacteria,g__norank_p__Zixibacteria,s__uncultured_bacterium_g__norank_p__Zixibacteria,OTU2910,29,4.0E-5,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Acidobacteria,c__Holophagae,o__Holophagales,f__Holophagaceae,g__Geothrix,s__unclassified_g__Geothrix,OTU3182,101,0.00014,64.705882352941%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__SC-I-84,g__norank_f__SC-I-84,s__unclassified_g__norank_f__SC-I-84,OTU3152,166,0.00023,64.705882352941%
d__Bacteria,k__norank_d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__UBA12409,g__norank_f__UBA12409,s__uncultured_Verrucomicrobia_bacterium_g__norank_f__UBA12409,OTU2834,4,5.53547e-6,23.529411764706%
d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Nostocales,f__Chroococcidiopsaceae,g__Chroococcidiopsis_PCC_7203,s__Chroococcidiopsis_thermalis_PCC_7203,OTU3240,6,8.30321e-6,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__JG36-GS-52,f__norank_o__JG36-GS-52,g__norank_o__JG36-GS-52,s__unclassified_g__norank_o__JG36-GS-52,OTU3205,37,5.0E-5,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__unclassified_c__Gammaproteobacteria,f__unclassified_c__Gammaproteobacteria,g__unclassified_c__Gammaproteobacteria,s__unclassified_c__Gammaproteobacteria,OTU3235,169,0.00023,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Kocuria,s__Kocuria_palustris,OTU2941,30,4.0E-5,58.823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Conexibacter,s__unclassified_g__Conexibacter,OTU3164,525,0.00073,70.588235294118%
